### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
39,660049,– ANTIDESIXIRRIBONUCLEASA ADNEASA Anti-DNA,Prácticas Generales,,,true
513,662538,"(α-HCH) Alfa-BHC alfa-HEXACLORURO de BENCENO α-1,2,3,4,5,6- alfa-HEXACLORAN alfa-LINDANO HEXACLOROCICLOHEXANO",Prácticas Especiales,,,true
510,662495,"(α1 Alfa 1 ANTITRIPSINA, CLEARENCE de AT Clearence) M.F. / sérica",Prácticas Especiales,,,true
47,660057,"(α1 ANTITRIPSINA, Alfa 1 AT) Líq. Pleural o Mat. Fecal o Sérica C/U (por I.D.-Cuantitativa)",Prácticas Generales,,,true
579,663016,"(β-HCH) Beta-BHC beta-HEXACLORURO de BENCENO beta-HEXACLORAN beta-LINDANO beta-1,2,3,4,5,6- HEXACLOROCICLOHEXANO",Prácticas Especiales,,,true
889,665520,"(γ-HCH) Gamma-BHC gamma-HEXACLORURO de BENCENO gamma-HEXACLORAN gamma-LINDANO gamma-1,2,3,4,5,6-HEXACLOROCICLOHEXANO",Prácticas Especiales,,,true
754,664350,"(δ-HCH) Delta-BHC delta-HEXACLORURO de BENCENO delta-HEXACLORAN delta-LINDANO delta- 1,2,3,4,5,6-HEXACLOROCICLOHEXANO",Prácticas Especiales,,,true
88,660161,"17 CETOESTER. Y 17 HIDROXICORT., Pba/Rta.de los, A LA ESTIMUL.c/ ACTH",Prácticas en Desuso,,,false
85,660158,"17 CETOESTER., PRUEBA/Rta. DE LOS, A LA ESTIMULACION CON ACTH",Prácticas en Desuso,,,false
87,660160,"17 CETOESTER., PRUEBA/Rta. DE LOS, A LA INHIB. C/DEXAMET. Y ESTIMUL.c/GONAD.CORIONICAS",Prácticas en Desuso,,,false
86,660159,"17 CETOESTER., PRUEBA/Rta. DE LOS, A LA INHIBIC. CON DEXAMETASONA",Prácticas en Desuso,,,false
84,660157,17- CETOESTEROIDES NEUTROS TOTALES,Prácticas en Desuso,,,false
223,660486,17- HIDROXICORTICOIDES urinarios,Prácticas en Desuso,,,false
749,664307,"4,4' -DDD (p,p' -DDD) 4,4'- DICLORODIFENILDICLOROETANO",Prácticas Especiales,,,true
750,664315,"4,4' -DDE (p,p' DDE) 4,4'- DICLORODIFENILDICLOROETILENO",Prácticas Especiales,,,true
751,664324,"4,4' -DDT (p,p' -DDT) 4,4'- DICLORODIFENILTRICLOROETANO",Prácticas Especiales,,,true
443,662001,ABC ACTO BIOQUÍMICO COMPLEMENTARIO,Prácticas Especiales,,,true
447,662009,ACANTHAMOEBA PCR,Prácticas Especiales,,,true
446,662008,ACANTHAMOEBA SPP,Prácticas Especiales,,,true
448,662011,"ÁCAROS y ARTRÓPODOS, Investigación de vectores",Prácticas Especiales,,,true
449,662017,ACETILCOLINA,Prácticas Especiales,,,true
450,662025,"ACETILCOLINA, Ac. Anti- RECEPTORES (ACRA)",Prácticas Especiales,,,true
451,662034,ACETILCOLINESTERASA ERITROCITARIA (ACHE),Prácticas Especiales,,,true
